date,agegrp,covid_deaths
2020-06-12 00:00:00,80+,6
2020-06-13 00:00:00,40-49,1
2020-06-13 00:00:00,60-69,2
2020-06-13 00:00:00,70-79,4
2020-06-13 00:00:00,80+,2
2020-06-14 00:00:00,50-59,1
2020-06-14 00:00:00,60-69,1
2020-06-14 00:00:00,70-79,7
2020-06-14 00:00:00,80+,12
2020-06-15 00:00:00,30-39,1
2020-06-15 00:00:00,60-69,3
2020-06-15 00:00:00,70-79,1
2020-06-15 00:00:00,80+,8
2020-06-16 00:00:00,50-59,1
2020-06-16 00:00:00,60-69,3
2020-06-16 00:00:00,70-79,7
2020-06-16 00:00:00,80+,2
2020-06-17 00:00:00,50-59,1
2020-06-17 00:00:00,60-69,3
2020-06-17 00:00:00,70-79,4
2020-06-17 00:00:00,80+,9
2020-06-18 00:00:00,60-69,4
2020-06-18 00:00:00,70-79,8
2020-06-18 00:00:00,80+,11
2020-06-19 00:00:00,50-59,1
2020-06-19 00:00:00,60-69,1
2020-06-19 00:00:00,70-79,2
2020-06-19 00:00:00,80+,9
2020-06-20 00:00:00,60-69,1
2020-06-20 00:00:00,70-79,1
2020-06-20 00:00:00,80+,8
2020-06-21 00:00:00,60-69,3
2020-06-21 00:00:00,70-79,3
2020-06-21 00:00:00,80+,5
2020-06-22 00:00:00,20-29,1
2020-06-22 00:00:00,40-49,1
2020-06-22 00:00:00,50-59,2
2020-06-22 00:00:00,60-69,2
2020-06-22 00:00:00,70-79,4
2020-06-22 00:00:00,80+,4
2020-06-23 00:00:00,70-79,1
2020-06-23 00:00:00,80+,3
2020-06-24 00:00:00,70-79,2
2020-06-24 00:00:00,80+,8
2020-06-25 00:00:00,60-69,2
2020-06-25 00:00:00,70-79,2
2020-06-25 00:00:00,80+,9
2020-06-26 00:00:00,30-39,1
2020-06-26 00:00:00,70-79,3
2020-06-26 00:00:00,80+,8
2020-06-27 00:00:00,60-69,1
2020-06-27 00:00:00,70-79,3
2020-06-27 00:00:00,80+,6
2020-06-28 00:00:00,60-69,3
2020-06-28 00:00:00,70-79,1
2020-06-28 00:00:00,80+,5
2020-06-29 00:00:00,50-59,1
2020-06-29 00:00:00,70-79,2
2020-06-29 00:00:00,80+,5
2020-06-30 00:00:00,50-59,1
2020-06-30 00:00:00,60-69,1
2020-06-30 00:00:00,70-79,1
2020-06-30 00:00:00,80+,4
2020-07-01 00:00:00,40-49,1
2020-07-01 00:00:00,50-59,1
2020-07-01 00:00:00,60-69,1
2020-07-01 00:00:00,70-79,1
2020-07-01 00:00:00,80+,7
2020-07-02 00:00:00,30-39,1
2020-07-02 00:00:00,70-79,2
2020-07-02 00:00:00,80+,5
2020-07-03 00:00:00,70-79,5
2020-07-03 00:00:00,80+,4
2020-07-04 00:00:00,50-59,1
2020-07-04 00:00:00,60-69,3
2020-07-04 00:00:00,70-79,1
2020-07-04 00:00:00,80+,2
2020-07-05 00:00:00,70-79,1
2020-07-05 00:00:00,80+,10
2020-07-06 00:00:00,50-59,3
2020-07-06 00:00:00,60-69,2
2020-07-06 00:00:00,70-79,3
2020-07-06 00:00:00,80+,7
2020-07-07 00:00:00,70-79,2
2020-07-07 00:00:00,80+,4
2020-07-08 00:00:00,20-29,1
2020-07-08 00:00:00,60-69,1
2020-07-08 00:00:00,70-79,2
2020-07-08 00:00:00,80+,4
2020-07-09 00:00:00,30-39,1
2020-07-09 00:00:00,50-59,1
2020-07-09 00:00:00,60-69,3
2020-07-09 00:00:00,70-79,2
2020-07-09 00:00:00,80+,3
2020-07-10 00:00:00,50-59,1
2020-07-10 00:00:00,60-69,1
2020-07-10 00:00:00,70-79,3
2020-07-10 00:00:00,80+,2
2020-07-11 00:00:00,70-79,4
2020-07-11 00:00:00,80+,4
2020-07-12 00:00:00,50-59,2
2020-07-12 00:00:00,70-79,6
2020-07-12 00:00:00,80+,5
2020-07-13 00:00:00,60-69,2
2020-07-13 00:00:00,70-79,3
2020-07-13 00:00:00,80+,4
2020-07-14 00:00:00,70-79,2
2020-07-14 00:00:00,80+,3
2020-07-15 00:00:00,60-69,2
2020-07-15 00:00:00,70-79,3
2020-07-15 00:00:00,80+,5
2020-07-16 00:00:00,60-69,2
2020-07-16 00:00:00,70-79,3
2020-07-16 00:00:00,80+,4
2020-07-17 00:00:00,60-69,3
2020-07-17 00:00:00,70-79,1
2020-07-17 00:00:00,80+,5
2020-07-18 00:00:00,50-59,1
2020-07-18 00:00:00,70-79,1
2020-07-18 00:00:00,80+,3
2020-07-19 00:00:00,60-69,2
2020-07-19 00:00:00,70-79,1
2020-07-19 00:00:00,80+,5
2020-07-20 00:00:00,60-69,4
2020-07-20 00:00:00,70-79,4
2020-07-20 00:00:00,80+,5
2020-07-21 00:00:00,50-59,1
2020-07-21 00:00:00,60-69,1
2020-07-21 00:00:00,70-79,2
2020-07-21 00:00:00,80+,5
2020-07-22 00:00:00,50-59,1
2020-07-22 00:00:00,60-69,1
2020-07-22 00:00:00,70-79,1
2020-07-22 00:00:00,80+,10
2020-07-23 00:00:00,60-69,5
2020-07-23 00:00:00,70-79,2
2020-07-23 00:00:00,80+,3
2020-07-24 00:00:00,60-69,3
2020-07-24 00:00:00,70-79,4
2020-07-24 00:00:00,80+,2
2020-07-25 00:00:00,50-59,1
2020-07-25 00:00:00,70-79,2
2020-07-25 00:00:00,80+,5
2020-07-26 00:00:00,60-69,1
2020-07-26 00:00:00,70-79,1
2020-07-26 00:00:00,80+,6
2020-07-27 00:00:00,60-69,2
2020-07-27 00:00:00,70-79,1
2020-07-27 00:00:00,80+,1
2020-07-28 00:00:00,40-49,1
2020-07-28 00:00:00,60-69,1
2020-07-28 00:00:00,70-79,2
2020-07-28 00:00:00,80+,2
2020-07-29 00:00:00,20-29,1
2020-07-29 00:00:00,70-79,6
2020-07-29 00:00:00,80+,12
2020-07-30 00:00:00,50-59,2
2020-07-30 00:00:00,60-69,1
2020-07-30 00:00:00,70-79,2
2020-07-30 00:00:00,80+,4
2020-07-31 00:00:00,50-59,1
2020-07-31 00:00:00,60-69,2
2020-07-31 00:00:00,70-79,2
2020-07-31 00:00:00,80+,5
2020-08-01 00:00:00,50-59,1
2020-08-01 00:00:00,60-69,2
2020-08-01 00:00:00,70-79,4
2020-08-01 00:00:00,80+,5
2020-08-02 00:00:00,70-79,4
2020-08-02 00:00:00,80+,5
2020-08-03 00:00:00,40-49,1
2020-08-03 00:00:00,70-79,2
2020-08-03 00:00:00,80+,6
2020-08-04 00:00:00,50-59,2
2020-08-04 00:00:00,70-79,1
2020-08-04 00:00:00,80+,6
2020-08-05 00:00:00,60-69,1
2020-08-05 00:00:00,70-79,2
2020-08-05 00:00:00,80+,1
2020-08-06 00:00:00,60-69,2
2020-08-06 00:00:00,70-79,5
2020-08-06 00:00:00,80+,7
2020-08-07 00:00:00,40-49,1
2020-08-07 00:00:00,50-59,1
2020-08-07 00:00:00,60-69,1
2020-08-07 00:00:00,70-79,6
2020-08-07 00:00:00,80+,5
2020-08-08 00:00:00,50-59,1
2020-08-08 00:00:00,60-69,4
2020-08-08 00:00:00,70-79,2
2020-08-08 00:00:00,80+,3
2020-08-09 00:00:00,60-69,1
2020-08-09 00:00:00,70-79,3
2020-08-09 00:00:00,80+,2
2020-08-10 00:00:00,50-59,1
2020-08-10 00:00:00,60-69,2
2020-08-10 00:00:00,70-79,4
2020-08-10 00:00:00,80+,8
2020-08-11 00:00:00,50-59,1
2020-08-11 00:00:00,70-79,5
2020-08-11 00:00:00,80+,7
2020-08-12 00:00:00,50-59,1
2020-08-12 00:00:00,60-69,2
2020-08-12 00:00:00,70-79,3
2020-08-12 00:00:00,80+,9
2020-08-13 00:00:00,40-49,1
2020-08-13 00:00:00,50-59,2
2020-08-13 00:00:00,70-79,2
2020-08-13 00:00:00,80+,10
2020-08-14 00:00:00,60-69,1
2020-08-14 00:00:00,70-79,4
2020-08-14 00:00:00,80+,9
2020-08-15 00:00:00,60-69,1
2020-08-15 00:00:00,70-79,4
2020-08-15 00:00:00,80+,4
2020-08-16 00:00:00,50-59,1
2020-08-16 00:00:00,60-69,3
2020-08-16 00:00:00,70-79,3
2020-08-16 00:00:00,80+,4
2020-08-17 00:00:00,20-29,1
2020-08-17 00:00:00,30-39,1
2020-08-17 00:00:00,50-59,1
2020-08-17 00:00:00,60-69,3
2020-08-17 00:00:00,70-79,6
2020-08-17 00:00:00,80+,8
2020-08-18 00:00:00,60-69,1
2020-08-18 00:00:00,70-79,3
2020-08-18 00:00:00,80+,1
2020-08-19 00:00:00,60-69,4
2020-08-19 00:00:00,70-79,4
2020-08-19 00:00:00,80+,3
2020-08-20 00:00:00,30-39,1
2020-08-20 00:00:00,60-69,4
2020-08-20 00:00:00,70-79,3
2020-08-20 00:00:00,80+,5
